date,building_permits_k,housing_starts_k,months_supply_new
2020-09-01,1650,1473,3.5
2020-10-01,1612,1543,3.3
2020-11-01,1692,1543,3.9
2020-12-01,1755,1614,4.1
2021-01-01,1856,1624,4
2021-02-01,1703,1398,4.8
2021-03-01,1756,1688,4.4
2021-04-01,1710,1489,4.7
2021-05-01,1705,1600,5.5
2021-06-01,1662,1664,5.9
2021-07-01,1666,1600,5.8
2021-08-01,1740,1596,6.6
2021-09-01,1649,1576,6.1
2021-10-01,1699,1587,6.7
2021-11-01,1770,1707,6
2021-12-01,1886,1711,5.7
2022-01-01,1923,1693,5.9
2022-02-01,1846,1730,6
2022-03-01,1899,1700,6.9
2022-04-01,1849,1807,8.5
2022-05-01,1711,1546,8.2
2022-06-01,1726,1556,9.4
2022-07-01,1707,1382,10.3
2022-08-01,1565,1532,8.8
2022-09-01,1586,1481,10.1
2022-10-01,1583,1446,9.6
2022-11-01,1424,1434,9.3
2022-12-01,1398,1296,8.8
2023-01-01,1418,1358,8.1
2023-02-01,1605,1395,8.3
2023-03-01,1472,1366,8.1
2023-04-01,1482,1343,7.8
2023-05-01,1579,1609,6.9
2023-06-01,1447,1420,7.5
2023-07-01,1530,1464,7
2023-08-01,1596,1321,8
2023-09-01,1530,1369,7.7
2023-10-01,1524,1380,7.7
2023-11-01,1513,1522,8.9
2023-12-01,1501,1504,8.6
2024-01-01,1548,1378,8.1
2024-02-01,1570,1555,8.5
2024-03-01,1477,1297,8.2
2024-04-01,1456,1379,7.9
2024-05-01,1405,1329,8.3
2024-06-01,1459,1318,8.2
2024-07-01,1448,1269,7.6
2024-08-01,1492,1394,8.2
2024-09-01,1421,1357,7.9
2024-10-01,1435,1370,9.1
2024-11-01,1512,1300,8.8
2024-12-01,1467,1494,8.4
2025-01-01,1463,1353,9
2025-02-01,1446,1491,9.4
2025-03-01,1492,1346,9.3
2025-04-01,1445,1400,8.6
2025-05-01,1416,1289,9.7
2025-06-01,1399,1379,9
2025-07-01,1400,1432,9.2
2025-08-01,1347,1291,8.5
2025-09-01,1444,1319,8.2
2025-10-01,1418,1273,9
2025-11-01,1414,1319,7.7
2025-12-01,1482,1378,7.9
2026-01-01,1393,1385,9.9
2026-02-01,1540,1346,9.1
2026-03-01,1363,1507,8.7
2026-04-01,1423,1465,9.4
