date,total_pc,index_pc,etp_pc,equity_pc,call_volume,put_volume
2021-10-28,0.66,1.39,1.35,0.36,3257351.0,2158438.0
2021-10-29,0.87,1.58,1.42,0.46,3810023.0,3301581.0
2021-11-01,0.76,1.64,1.01,0.4,3480844.0,2652211.0
2021-11-02,0.71,1.76,0.96,0.37,3116160.0,2216732.0
2021-11-03,0.69,1.26,0.98,0.39,3848329.0,2661016.0
2021-11-04,0.69,1.61,0.71,0.39,4373490.0,3001748.0
2021-11-05,0.78,1.41,0.93,0.44,4942025.0,3837842.0
2021-11-08,0.66,1.65,0.91,0.36,3863375.0,2559707.0
2021-11-09,0.73,1.42,1.0,0.44,3426782.0,2516639.0
2021-11-10,0.87,1.49,1.13,0.48,3833102.0,3329858.0
2021-11-11,0.73,1.34,1.25,0.44,2881679.0,2115218.0
2021-11-12,0.75,1.46,0.66,0.47,4085806.0,3060696.0
2021-11-15,0.78,1.71,0.85,0.42,3338486.0,2619735.0
2021-11-16,0.79,1.57,0.95,0.44,3301077.0,2603111.0
2021-11-17,0.8,1.34,1.26,0.45,3401366.0,2711969.0
2021-11-18,0.7,1.33,0.95,0.45,3981689.0,2767526.0
2021-11-19,0.76,1.88,1.06,0.42,4648861.0,3546218.0
2021-11-22,0.77,1.52,1.11,0.4,4402175.0,3401098.0
2021-11-23,0.84,1.46,1.04,0.53,3386582.0,2833817.0
2021-11-24,0.9,1.78,1.05,0.5,2997855.0,2699559.0
2021-11-25,,,,,,
2021-11-26,0.92,1.17,1.07,0.56,3724103.0,3415312.0
2021-11-29,0.87,1.61,1.02,0.42,3570187.0,3119033.0
2021-11-30,0.94,1.54,1.21,0.48,3999621.0,3756239.0
2021-12-01,0.99,1.43,1.39,0.52,4181956.0,4134656.0
2021-12-02,1.08,1.89,1.27,0.62,3059421.0,3318319.0
2021-12-03,1.15,1.43,1.4,0.74,4373547.0,5022231.0
2021-12-06,1.01,1.53,1.17,0.54,3360275.0,3406913.0
2021-12-07,0.95,1.68,1.13,0.43,3407123.0,3226652.0
2021-12-08,0.88,1.48,1.18,0.45,2983863.0,2640005.0
2021-12-09,0.91,1.58,1.26,0.53,2735920.0,2477019.0
2021-12-10,1.08,2.04,1.2,0.61,3107427.0,3343485.0
2021-12-13,0.98,1.89,1.0,0.56,2899718.0,2835004.0
2021-12-14,0.97,1.41,1.19,0.6,2676584.0,2596354.0
2021-12-15,0.92,1.4,0.91,0.59,3320113.0,3066740.0
2021-12-16,0.86,1.31,0.95,0.55,3457172.0,2960354.0
2021-12-17,0.87,1.18,1.1,0.59,3917044.0,3402106.0
2021-12-20,0.85,1.32,0.98,0.47,3445029.0,2911883.0
2021-12-21,0.87,1.59,0.96,0.49,3329846.0,2904050.0
2021-12-22,0.82,1.25,1.11,0.47,3056639.0,2500534.0
2021-12-23,0.79,1.36,1.01,0.49,3445239.0,2738027.0
2021-12-24,,,,,,
2021-12-27,0.79,1.22,1.04,0.45,3175904.0,2502320.0
2021-12-28,0.73,1.34,0.78,0.46,2802598.0,2047646.0
2021-12-29,0.92,1.35,1.26,0.55,2532652.0,2331989.0
2021-12-30,0.83,1.27,1.32,0.49,2918548.0,2435293.0
2021-12-31,0.81,1.29,0.81,0.55,3288021.0,2651121.0
2022-01-03,0.76,1.44,0.95,0.43,3278340.0,2491539.0
2022-01-04,0.8,1.5,1.11,0.47,3039708.0,2426611.0
2022-01-05,1.05,1.85,1.21,0.57,3364418.0,3524453.0
2022-01-06,0.97,1.52,1.26,0.6,2756291.0,2668750.0
2022-01-07,0.95,1.54,1.17,0.59,3039551.0,2882210.0
2022-01-10,1.0,1.49,1.15,0.56,3356592.0,3362661.0
2022-01-11,0.76,1.32,0.88,0.44,2872274.0,2194512.0
2022-01-12,0.83,1.3,0.85,0.49,3119836.0,2586209.0
2022-01-13,0.96,1.49,1.34,0.6,2885189.0,2776912.0
2022-01-14,1.09,1.67,1.34,0.64,3027317.0,3291764.0
2022-01-17,,,,,,
2022-01-18,1.0,1.4,1.29,0.52,3471703.0,3461250.0
2022-01-19,0.91,1.32,1.05,0.55,3397111.0,3106440.0
2022-01-20,0.99,1.41,1.25,0.62,3485820.0,3461849.0
2022-01-21,1.26,1.63,1.53,0.82,4619679.0,5835060.0
2022-01-24,1.17,1.58,1.25,0.67,4880951.0,5711288.0
2022-01-25,0.89,1.19,0.79,0.61,3501516.0,3104235.0
2022-01-26,1.0,1.65,1.01,0.56,3660524.0,3668840.0
2022-01-27,1.06,1.59,1.23,0.7,3054959.0,3252356.0
2022-01-28,1.03,1.19,1.39,0.72,3881007.0,3997351.0
2022-01-31,1.06,1.59,1.33,0.53,3291780.0,3479073.0
2022-02-01,0.95,1.44,1.19,0.53,2754570.0,2607552.0
2022-02-02,0.97,1.47,1.23,0.52,3006168.0,2924853.0
2022-02-03,1.09,1.43,1.43,0.75,2599817.0,2845982.0
2022-02-04,0.95,1.28,1.25,0.61,3274837.0,3108617.0
2022-02-07,0.93,1.38,1.12,0.53,2760270.0,2571231.0
2022-02-08,0.99,1.65,1.13,0.58,2539303.0,2515572.0
2022-02-09,0.91,1.53,1.25,0.44,3441652.0,3135707.0
2022-02-10,0.88,1.26,1.29,0.49,3516474.0,3110443.0
2022-02-11,1.12,1.51,1.49,0.64,3799606.0,4270689.0
2022-02-14,1.09,1.22,1.61,0.66,3141496.0,3426175.0
2022-02-15,0.93,1.21,1.37,0.5,2820520.0,2609570.0
2022-02-16,0.96,1.1,1.55,0.59,2920361.0,2811246.0
2022-02-17,1.04,1.42,1.2,0.68,2900068.0,3028941.0
2022-02-18,1.12,1.45,1.49,0.73,3379054.0,3784607.0
2022-02-21,,,,,,
2022-02-22,0.99,1.27,1.36,0.55,3117730.0,3097753.0
2022-02-23,0.96,1.08,1.2,0.66,3288558.0,3143465.0
2022-02-24,1.03,1.32,1.27,0.67,3838309.0,3962661.0
2022-02-25,0.97,1.32,1.28,0.57,3888013.0,3773855.0
2022-02-28,0.95,1.38,1.2,0.49,3068931.0,2901451.0
2022-03-01,0.89,1.29,1.19,0.5,3167546.0,2831412.0
